Strip Name,Original File Name,HoleID,EatenPct,EatenFrac,x,y,r,Tone,QA
20250826_161616-s7-g.jpg,20250826_161616-s7,14,0.0,0.0,161,49,16,Gray,ok
20250826_161616-s7-g.jpg,20250826_161616-s7,15,38.0,0.38,1001,55,19,Gray,ok
20250826_161616-s7-g.jpg,20250826_161616-s7,16,2.82,0.0282,1303,55,15,Gray,ok
20250826_161616-s8-g.jpg,20250826_161616-s8,1,0.0,0.0,1293,31,24,Gray,ok
20250826_161616-s8-g.jpg,20250826_161616-s8,2,0.0,0.0,1501,33,24,Gray,ok
20250826_161616-s8-g.jpg,20250826_161616-s8,3,0.0,0.0,1195,29,24,Gray,ok
20250826_161616-s8-g.jpg,20250826_161616-s8,4,0.06,0.0006,891,29,24,Gray,ok
20250826_161616-s8-g.jpg,20250826_161616-s8,5,0.17,0.0017,787,27,24,Gray,ok
20250826_161616-s8-g.jpg,20250826_161616-s8,6,0.0,0.0,1099,25,24,Gray,ok
20250826_161616-s8-g.jpg,20250826_161616-s8,7,0.0,0.0,477,31,24,Gray,ok
20250826_161616-s8-g.jpg,20250826_161616-s8,8,0.0,0.0,1613,39,24,Gray,ok
20250826_161616-s8-g.jpg,20250826_161616-s8,9,17.74,0.1774,265,29,24,Gray,ok
20250826_161616-s8-g.jpg,20250826_161616-s8,10,1.06,0.0106,1405,27,24,Gray,ok
20250826_161616-s8-g.jpg,20250826_161616-s8,11,17.62,0.1762,687,31,24,Gray,ok
20250826_161616-s8-g.jpg,20250826_161616-s8,12,2.7,0.027,999,27,22,Gray,ok
20250826_161616-s8-g.jpg,20250826_161616-s8,13,1.07,0.0107,171,15,24,Gray,ok
20250826_161616-s8-g.jpg,20250826_161616-s8,14,0.0,0.0,1711,39,19,Gray,ok
20250826_161616-s8-g.jpg,20250826_161616-s8,15,38.23,0.3823,575,25,22,Gray,ok
20250826_161616-s8-g.jpg,20250826_161616-s8,16,47.37,0.4737,381,19,22,Gray,ok
